"Show Static Block","Show Static Block"
"Sort Order is optional. By default, blocks will be arranged sequentially","Sort Order is optional. By default, blocks will be arranged sequentially"
"Design Configuration","Design Configuration"
"Checkout Page Layout","Checkout Page Layout"
"Select the layout used for the Checkout Page.","Select the layout used for the Checkout Page."
"Design Style","Design Style"
"Select the design style for the Checkout Page.","Select the design style for the Checkout Page."
"Heading Background Color","Heading Background Color"
"Heading Text Color","Heading Text Color"
"Radio Button Style","Radio Button Style"
"Select the radio button style.","Select the radio button style."
"CheckBox Button Style","CheckBox Button Style"
"Select the checkbox button style.","Select the checkbox button style."
"Material Color","Material Color"
"Change color icon heading, border input text, radio,checkbox buttons.","Change color icon heading, border input text, radio,checkbox buttons."
"Place Order button color","Place Order button color"
"Custom Fields Configuration","Custom Fields Configuration"
"Compatible with <a href=""https://www.mageplaza.com/magento-2-customer-attributes/?utm_source=configuration&utm_medium=link&utm_campaign=one-step-checkout"" target=""_blank"">Customer Attributes</a>","Compatible with <a href=""https://www.mageplaza.com/magento-2-customer-attributes/?utm_source=configuration&utm_medium=link&utm_campaign=one-step-checkout"" target=""_blank"">Customer Attributes</a>"
"Custom Field 1 Label","Custom Field 1 Label"
"Input text field","Input text field"
"Custom Field 2 Label","Custom Field 2 Label"
"Custom Field 3 Label","Custom Field 3 Label"
"Date picker field","Date picker field"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"For delivery questions.","For delivery questions."
